epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,249.639,0.84593,0.48691,1.1207,0.98417,1,0.995,0.62514,1.32253,0.52756,1.65611,0.00038375,0.00038375,0.00038375
44,254.779,0.81208,0.45823,1.05177,0.97994,0.99868,0.995,0.63995,1.29468,0.48914,1.6202,0.000363125,0.000363125,0.000363125
45,259.739,0.79327,0.45498,1.04396,0.98035,0.99934,0.995,0.63977,1.2858,0.48684,1.59872,0.0003425,0.0003425,0.0003425
46,263.233,0.82206,0.44959,1.06185,0.98502,1,0.995,0.66165,1.25061,0.47497,1.57682,0.000321875,0.000321875,0.000321875
47,270.096,0.80226,0.45656,1.05768,0.9846,1,0.995,0.648,1.26797,0.49126,1.60968,0.00030125,0.00030125,0.00030125
48,273.931,0.81063,0.46287,1.03543,0.98254,1,0.995,0.6496,1.26059,0.49874,1.62731,0.000280625,0.000280625,0.000280625
49,278.643,0.76338,0.42883,1.02588,0.98344,1,0.995,0.66128,1.21776,0.49408,1.60133,0.00026,0.00026,0.00026
50,283.423,0.75633,0.4383,1.02882,0.98758,1,0.995,0.65145,1.20711,0.47664,1.57188,0.000239375,0.000239375,0.000239375
51,316.599,0.70248,0.41518,1.02017,0.98836,1,0.995,0.65951,1.21918,0.47422,1.58007,0.00021875,0.00021875,0.00021875
52,328.548,0.67925,0.36893,0.97937,0.9878,1,0.995,0.64529,1.2585,0.4774,1.59496,0.000198125,0.000198125,0.000198125
53,335.683,0.65559,0.36034,0.99224,0.98516,1,0.995,0.6582,1.25922,0.45696,1.57471,0.0001775,0.0001775,0.0001775
54,341.176,0.65638,0.36016,1.00435,0.97893,0.99899,0.995,0.67129,1.20179,0.44495,1.52887,0.000156875,0.000156875,0.000156875
55,346.894,0.65374,0.3517,1.00504,0.97868,1,0.995,0.66662,1.18555,0.44256,1.52033,0.00013625,0.00013625,0.00013625
56,351.05,0.62547,0.35176,0.97199,0.98315,1,0.995,0.65317,1.21046,0.44298,1.55748,0.000115625,0.000115625,0.000115625
57,354.671,0.61901,0.34901,1.01242,0.98638,1,0.995,0.6502,1.22216,0.44981,1.57518,9.5e-05,9.5e-05,9.5e-05
58,359.963,0.63081,0.34732,0.96022,0.98957,1,0.995,0.6628,1.21787,0.45349,1.57565,7.4375e-05,7.4375e-05,7.4375e-05
59,363.643,0.59192,0.33584,0.97503,0.98978,1,0.995,0.6661,1.20489,0.44798,1.56409,5.375e-05,5.375e-05,5.375e-05
60,367.58,0.58526,0.35446,0.97559,0.9898,1,0.995,0.68124,1.19121,0.44434,1.54942,3.3125e-05,3.3125e-05,3.3125e-05
